model,feature,bleu,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,alignment
llama3.1:8b,Mobile App,3.2321980982687883e-156,0.04911710581559164,0.05956375478764329,5.0,5.0,5.0,5.0,5.0
llama3.1:8b,USSD,9.497036160943013e-80,0.0758460835486043,0.11581896657057791,4.6,5.0,5.0,5.0,4.4
llama3.1:8b,Web Portal,7.61396596738558e-156,0.038633774683948276,0.05699133199531294,4.4,5.0,5.0,5.0,4.6
mistral,Mobile App,6.781312472393278e-156,0.06597895624733788,0.09998735756625067,5.0,5.0,5.0,5.0,5.0
mistral,USSD,4.050905285037891e-156,0.09577636518997937,0.11872649641718477,4.6,5.0,5.0,5.0,4.6
mistral,Web Portal,2.850988091743254e-156,0.04119911126763428,0.0628732085137405,4.6,5.0,5.0,5.0,4.4
