model,feature,rouge_l,token_f1,alignment,quality_status
llama3.1:8b,USSD,0.07692307692307691,0.13986013986013984,1,FAIL
llama3.1:8b,USSD,0.028735632183908046,0.05172413793103448,5,FAIL
llama3.1:8b,USSD,0.07272727272727272,0.1016949152542373,5,FAIL
llama3.1:8b,USSD,0.04790419161676646,0.06194690265486725,5,FAIL
llama3.1:8b,USSD,0.15267175572519084,0.18,5,FAIL
llama3.1:8b,Mobile App,0.11320754716981134,0.11627906976744186,5,FAIL
llama3.1:8b,Mobile App,0.037735849056603765,0.0425531914893617,1,FAIL
llama3.1:8b,Mobile App,0.03753351206434317,0.07207207207207207,5,FAIL
llama3.1:8b,Mobile App,0.07352941176470588,0.14285714285714285,5,FAIL
llama3.1:8b,Mobile App,0.056338028169014086,0.08633093525179855,3,FAIL
llama3.1:8b,Web Portal,0.0347394540942928,0.03389830508474576,5,FAIL
llama3.1:8b,Web Portal,0.0404040404040404,0.07486631016042782,5,FAIL
llama3.1:8b,Web Portal,0.04987531172069825,0.0859375,5,FAIL
llama3.1:8b,Web Portal,0.018912529550827423,0.03162055335968379,3,FAIL
llama3.1:8b,Web Portal,0.029069767441860465,0.047619047619047616,5,FAIL
mistral,USSD,0.1188118811881188,0.25974025974025977,5,FAIL
mistral,USSD,0.034582132564841495,0.046511627906976744,4,FAIL
mistral,USSD,0.1791044776119403,0.15873015873015875,5,FAIL
mistral,USSD,0.07003891050583658,0.05917159763313609,5,FAIL
mistral,USSD,0.12030075187969927,0.20202020202020202,5,FAIL
mistral,Mobile App,0.058091286307053944,0.07692307692307691,5,FAIL
mistral,Mobile App,0.05555555555555555,0.06349206349206349,5,FAIL
mistral,Mobile App,0.05172413793103448,0.08653846153846154,5,FAIL
mistral,Mobile App,0.12698412698412698,0.07272727272727274,3,FAIL
mistral,Mobile App,0.06593406593406594,0.1016949152542373,5,FAIL
mistral,Web Portal,0.03389830508474576,0.03902439024390244,5,FAIL
mistral,Web Portal,0.0851063829787234,0.075,5,FAIL
mistral,Web Portal,0.05423728813559322,0.09183673469387753,5,FAIL
mistral,Web Portal,0.023121387283236993,0.03755868544600939,5,FAIL
mistral,Web Portal,0.030612244897959186,0.045454545454545456,5,FAIL
