model,feature,bleu,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,alignment
llama3.1:8b,Mobile App,0.004558095354588856,0.06366886964489564,0.0920184822875634,4.2,4.9,4.4,4.6,3.8
llama3.1:8b,USSD,0.00534369769394807,0.07579238583524299,0.10704521914005576,3.6,4.0,5.0,4.8,4.2
llama3.1:8b,Web Portal,0.0027768526967309527,0.03460022064234387,0.05478834324478099,4.4,4.8,4.8,5.0,4.6
mistral,Mobile App,0.005560296778519066,0.07165783454236738,0.0802751579870224,5.0,5.0,5.0,5.0,4.6
mistral,USSD,0.007484884404225939,0.10456763075008728,0.1452347692061467,5.0,5.0,5.0,5.0,4.8
mistral,Web Portal,0.0029659884127819216,0.04539512167605171,0.05777487116766696,5.0,4.8,5.0,5.0,5.0
